#,Operador,DO,DF
1,=,T1,"""Usuario"""
2,=,mnmNombre,T1
3,=,T1,"""Iteracion numero: """
4,=,mnmMensaje,T1
5,=,T1,"""--------------------"""
6,=,mnmSeparador,T1
7,=,T1,2
8,=,mnmContador,T1
9,=,T1,5
10,=,mnmLimite,T1
11,=,T1,1
12,=,mnmPaso,T1
13,=,T1,10.5
14,=,mnmValorActual,T1
15,=,T1,20.0
16,=,mnmTope,T1
17,=,T1,"""0.0"""
18,=,mnmPuntoCritico,T1
19,=,T1,mnmContador
20,*,T1,7
21,=,T2,7
22,*,T2,mnmContador
23,=,T3,T1
24,+,T3,T2
25,=,mnmTope,T3
26,=,T1,1
27,=,mnmContador,T1
28,=,T1,mnmContador
29,<=,T1,mnmLimite
30, ,False,45
31, ,True,32
32,=,T2,mnmValorActual
33,>,T2,mnmPuntoCritico
34, ,True,36
35, ,False,45
36,=,T3,8
37,/,T3,3
38,=,T4,78
39,+,T4,T3
40,=,mnmContador,T4
41,=,T1,mnmContador
42,+,T1,mnmPaso
43,=,mnmContador,T1
44,JMP,28,
45,=,T1,20.0
46,/,T1,mnmTope
47,=,mnmTope,T1
48,=,T1,mnmTope
49,=,mnmContador,T1
